申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明
買賣,房地(土地+建物),4,2,,6,2,4,有,透天厝,"45,800,000",,,,無,1110822,"本案總價4580萬，其中新樂街115號及430地號:2206萬；
光榮街71巷6號及431、432、433地號:2374萬",鹽埕區,鹽新段,235,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,472.11,住家用,鋼筋混凝土造,3,591208,52,一層;二層;三層;,,,光榮街71巷6號,鹽埕區,鹽新段,4300000,140000,
買賣,房地(土地+建物),2,1,,3,3,3,有,透天厝,"41,200,000",,,,無,1110810,增建部分：頂樓、其他：1樓空地增建至3樓。,鹽埕區,鹽壽段,273,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,327.76,商業用,見使用執照,2,2308,88,一層;二層;騎樓;,,,建國四路216號,鹽埕區,鹽壽段,6040000,195000,
買賣,土地,2,0,,,,,有,,"20,000,000",,,,無,1111109,,鹽埕區,鹽國段,77,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,,無建物主要用途資料,無建物主要建材,,,,,,,鹽國段 944-0 地號,鹽埕區,鹽國段,9440000,,0401.未登記建物
買賣,房地(土地+建物)+車位,2,1,1,4,2,3,有,住宅大樓(11層含以上有電梯),"18,600,000",,,,有,1111103,,鹽埕區,大成段,17.25,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,218.65,住家用,鋼筋混凝土造,15,1040323,8,五層;,0,18.09,五福四路83之1號五樓,鹽埕區,大成段,7150000,1047000,
買賣,土地,2,0,,,,,有,,"18,513,000",,,,無,1110218,,鹽埕區,鹽中段,153,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,,無建物主要用途資料,無建物主要建材,,,,,,,鹽中段 701-0 地號,鹽埕區,鹽中段,7010000,,
買賣,房地(土地+建物),1,1,,6,3,6,有,透天厝,"16,000,000",,,,無,1110918,,鹽埕區,鹽壽段,55,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,183.48,住商用,鋼筋混凝土造,4,520825,59,一層;二層;三層;四層;騎樓;,,,興華街52號,鹽埕區,鹽壽段,190000,1019000,
買賣,房地(土地+建物),1,1,,5,2,4,有,透天厝,"15,000,000",,,,無,1110920,,鹽埕區,大東段,77,其他-第三種商業區,無使用分區資料,無土地編定使用地類別資料,193.44,無建物主要用途資料,鋼筋混凝土造,3,630702,48,一層;二層;三層;騎樓;,,,必信街98號,鹽埕區,大東段,5660000,107000,0302.頂樓加蓋
買賣,房地(土地+建物),1,1,,2,1,1,有,透天厝,"15,000,000",,,,無,1111014,,鹽埕區,興橋段,100,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,188.44,住商用,見其他登記事項,2,371220,74,一層;二層;騎樓;,,,五福四路302號,鹽埕區,興橋段,4970000,223000,
買賣,房地(土地+建物),1,1,,,,,無,透天厝,"14,380,000",,,,無,1110626,,鹽埕區,興仁段,107.51,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,165.76,無建物主要用途資料,磚造,2,340110,77,一層;二層;騎樓;,,,新興街178號,鹽埕區,興仁段,370003,404000,0302.頂樓加蓋
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"13,980,000",,,"1,800,000",有,1110922,,鹽埕區,興仁段,8.61,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,129.76,見其他登記事項,見其他登記事項,15,1090515,2,十四層;,"1,800,000",14.16,大公路101號十四樓之2,鹽埕區,興仁段,3910000,1096000,0101.裝潢費
